region;ålder;kön;år;Folkmängd
0114 Upplands Väsby;55-59 år;kvinnor;2008;1245
0114 Upplands Väsby;55-59 år;kvinnor;2009;1198
0114 Upplands Väsby;55-59 år;kvinnor;2010;1172
0114 Upplands Väsby;55-59 år;kvinnor;2011;1075
0114 Upplands Väsby;55-59 år;kvinnor;2012;1078
0114 Upplands Väsby;55-59 år;kvinnor;2013;1078
0114 Upplands Väsby;55-59 år;kvinnor;2014;1055
0114 Upplands Väsby;55-59 år;kvinnor;2015;1080
0114 Upplands Väsby;55-59 år;kvinnor;2016;1135
0114 Upplands Väsby;55-59 år;kvinnor;2017;1185
0114 Upplands Väsby;55-59 år;kvinnor;2018;1227
0114 Upplands Väsby;60-64 år;kvinnor;2008;1398
0114 Upplands Väsby;60-64 år;kvinnor;2009;1388
0114 Upplands Väsby;60-64 år;kvinnor;2010;1324
0114 Upplands Väsby;60-64 år;kvinnor;2011;1317
0114 Upplands Väsby;60-64 år;kvinnor;2012;1269
0114 Upplands Väsby;60-64 år;kvinnor;2013;1191
0114 Upplands Väsby;60-64 år;kvinnor;2014;1148
0114 Upplands Väsby;60-64 år;kvinnor;2015;1134
0114 Upplands Väsby;60-64 år;kvinnor;2016;1059
0114 Upplands Väsby;60-64 år;kvinnor;2017;1050
0114 Upplands Väsby;60-64 år;kvinnor;2018;1043
0114 Upplands Väsby;65-69 år;kvinnor;2008;1074
0114 Upplands Väsby;65-69 år;kvinnor;2009;1117
0114 Upplands Väsby;65-69 år;kvinnor;2010;1198
0114 Upplands Väsby;65-69 år;kvinnor;2011;1263
0114 Upplands Väsby;65-69 år;kvinnor;2012;1265
0114 Upplands Väsby;65-69 år;kvinnor;2013;1291
0114 Upplands Väsby;65-69 år;kvinnor;2014;1284
0114 Upplands Väsby;65-69 år;kvinnor;2015;1206
0114 Upplands Väsby;65-69 år;kvinnor;2016;1222
0114 Upplands Väsby;65-69 år;kvinnor;2017;1164
0114 Upplands Väsby;65-69 år;kvinnor;2018;1111
0114 Upplands Väsby;70-74 år;kvinnor;2008;663
0114 Upplands Väsby;70-74 år;kvinnor;2009;761
0114 Upplands Väsby;70-74 år;kvinnor;2010;824
0114 Upplands Väsby;70-74 år;kvinnor;2011;857
0114 Upplands Väsby;70-74 år;kvinnor;2012;939
0114 Upplands Väsby;70-74 år;kvinnor;2013;1001
0114 Upplands Väsby;70-74 år;kvinnor;2014;1036
0114 Upplands Väsby;70-74 år;kvinnor;2015;1115
0114 Upplands Väsby;70-74 år;kvinnor;2016;1173
0114 Upplands Väsby;70-74 år;kvinnor;2017;1189
0114 Upplands Väsby;70-74 år;kvinnor;2018;1216
0114 Upplands Väsby;75-79 år;kvinnor;2008;505
0114 Upplands Väsby;75-79 år;kvinnor;2009;502
0114 Upplands Väsby;75-79 år;kvinnor;2010;509
0114 Upplands Väsby;75-79 år;kvinnor;2011;543
0114 Upplands Väsby;75-79 år;kvinnor;2012;590
0114 Upplands Väsby;75-79 år;kvinnor;2013;611
0114 Upplands Väsby;75-79 år;kvinnor;2014;706
0114 Upplands Väsby;75-79 år;kvinnor;2015;754
0114 Upplands Väsby;75-79 år;kvinnor;2016;776
0114 Upplands Väsby;75-79 år;kvinnor;2017;852
0114 Upplands Väsby;75-79 år;kvinnor;2018;912
0114 Upplands Väsby;80-84 år;kvinnor;2008;384
0114 Upplands Väsby;80-84 år;kvinnor;2009;381
0114 Upplands Väsby;80-84 år;kvinnor;2010;385
0114 Upplands Väsby;80-84 år;kvinnor;2011;395
0114 Upplands Väsby;80-84 år;kvinnor;2012;404
0114 Upplands Väsby;80-84 år;kvinnor;2013;417
0114 Upplands Väsby;80-84 år;kvinnor;2014;402
0114 Upplands Väsby;80-84 år;kvinnor;2015;419
0114 Upplands Väsby;80-84 år;kvinnor;2016;451
0114 Upplands Väsby;80-84 år;kvinnor;2017;495
0114 Upplands Väsby;80-84 år;kvinnor;2018;538
0114 Upplands Väsby;85-89 år;kvinnor;2008;246
0114 Upplands Väsby;85-89 år;kvinnor;2009;271
0114 Upplands Väsby;85-89 år;kvinnor;2010;278
0114 Upplands Väsby;85-89 år;kvinnor;2011;275
0114 Upplands Väsby;85-89 år;kvinnor;2012;270
0114 Upplands Väsby;85-89 år;kvinnor;2013;276
0114 Upplands Väsby;85-89 år;kvinnor;2014;277
0114 Upplands Väsby;85-89 år;kvinnor;2015;275
0114 Upplands Väsby;85-89 år;kvinnor;2016;284
0114 Upplands Väsby;85-89 år;kvinnor;2017;282
0114 Upplands Väsby;85-89 år;kvinnor;2018;277
0114 Upplands Väsby;90-94 år;kvinnor;2008;83
0114 Upplands Väsby;90-94 år;kvinnor;2009;92
0114 Upplands Väsby;90-94 år;kvinnor;2010;102
0114 Upplands Väsby;90-94 år;kvinnor;2011;125
0114 Upplands Väsby;90-94 år;kvinnor;2012;139
0114 Upplands Väsby;90-94 år;kvinnor;2013;136
0114 Upplands Väsby;90-94 år;kvinnor;2014;141
0114 Upplands Väsby;90-94 år;kvinnor;2015;140
0114 Upplands Väsby;90-94 år;kvinnor;2016;131
0114 Upplands Väsby;90-94 år;kvinnor;2017;137
0114 Upplands Väsby;90-94 år;kvinnor;2018;141
0114 Upplands Väsby;95-99 år;kvinnor;2008;22
0114 Upplands Väsby;95-99 år;kvinnor;2009;17
0114 Upplands Väsby;95-99 år;kvinnor;2010;15
0114 Upplands Väsby;95-99 år;kvinnor;2011;17
0114 Upplands Väsby;95-99 år;kvinnor;2012;27
0114 Upplands Väsby;95-99 år;kvinnor;2013;36
0114 Upplands Väsby;95-99 år;kvinnor;2014;23
0114 Upplands Väsby;95-99 år;kvinnor;2015;31
0114 Upplands Väsby;95-99 år;kvinnor;2016;39
0114 Upplands Väsby;95-99 år;kvinnor;2017;36
0114 Upplands Väsby;95-99 år;kvinnor;2018;41
0114 Upplands Väsby;100+ år;kvinnor;2008;3
0114 Upplands Väsby;100+ år;kvinnor;2009;5
0114 Upplands Väsby;100+ år;kvinnor;2010;4
0114 Upplands Väsby;100+ år;kvinnor;2011;3
0114 Upplands Väsby;100+ år;kvinnor;2012;3
0114 Upplands Väsby;100+ år;kvinnor;2013;5
0114 Upplands Väsby;100+ år;kvinnor;2014;6
0114 Upplands Väsby;100+ år;kvinnor;2015;5
0114 Upplands Väsby;100+ år;kvinnor;2016;4
0114 Upplands Väsby;100+ år;kvinnor;2017;6
0114 Upplands Väsby;100+ år;kvinnor;2018;4
0115 Vallentuna;55-59 år;kvinnor;2008;752
0115 Vallentuna;55-59 år;kvinnor;2009;765
0115 Vallentuna;55-59 år;kvinnor;2010;769
0115 Vallentuna;55-59 år;kvinnor;2011;779
0115 Vallentuna;55-59 år;kvinnor;2012;797
0115 Vallentuna;55-59 år;kvinnor;2013;824
0115 Vallentuna;55-59 år;kvinnor;2014;834
0115 Vallentuna;55-59 år;kvinnor;2015;866
0115 Vallentuna;55-59 år;kvinnor;2016;900
0115 Vallentuna;55-59 år;kvinnor;2017;939
0115 Vallentuna;55-59 år;kvinnor;2018;945
0115 Vallentuna;60-64 år;kvinnor;2008;888
0115 Vallentuna;60-64 år;kvinnor;2009;848
0115 Vallentuna;60-64 år;kvinnor;2010;811
0115 Vallentuna;60-64 år;kvinnor;2011;784
0115 Vallentuna;60-64 år;kvinnor;2012;752
0115 Vallentuna;60-64 år;kvinnor;2013;742
0115 Vallentuna;60-64 år;kvinnor;2014;754
0115 Vallentuna;60-64 år;kvinnor;2015;753
0115 Vallentuna;60-64 år;kvinnor;2016;751
0115 Vallentuna;60-64 år;kvinnor;2017;754
0115 Vallentuna;60-64 år;kvinnor;2018;755
0115 Vallentuna;65-69 år;kvinnor;2008;682
0115 Vallentuna;65-69 år;kvinnor;2009;762
0115 Vallentuna;65-69 år;kvinnor;2010;822
0115 Vallentuna;65-69 år;kvinnor;2011;860
0115 Vallentuna;65-69 år;kvinnor;2012;882
0115 Vallentuna;65-69 år;kvinnor;2013;861
0115 Vallentuna;65-69 år;kvinnor;2014;808
0115 Vallentuna;65-69 år;kvinnor;2015;763
0115 Vallentuna;65-69 år;kvinnor;2016;728
0115 Vallentuna;65-69 år;kvinnor;2017;695
0115 Vallentuna;65-69 år;kvinnor;2018;695
0115 Vallentuna;70-74 år;kvinnor;2008;491
0115 Vallentuna;70-74 år;kvinnor;2009;503
0115 Vallentuna;70-74 år;kvinnor;2010;539
0115 Vallentuna;70-74 år;kvinnor;2011;555
0115 Vallentuna;70-74 år;kvinnor;2012;594
0115 Vallentuna;70-74 år;kvinnor;2013;678
0115 Vallentuna;70-74 år;kvinnor;2014;765
0115 Vallentuna;70-74 år;kvinnor;2015;805
0115 Vallentuna;70-74 år;kvinnor;2016;833
0115 Vallentuna;70-74 år;kvinnor;2017;826
0115 Vallentuna;70-74 år;kvinnor;2018;784
0115 Vallentuna;75-79 år;kvinnor;2008;326
0115 Vallentuna;75-79 år;kvinnor;2009;335
0115 Vallentuna;75-79 år;kvinnor;2010;357
0115 Vallentuna;75-79 år;kvinnor;2011;377
0115 Vallentuna;75-79 år;kvinnor;2012;415
0115 Vallentuna;75-79 år;kvinnor;2013;444
0115 Vallentuna;75-79 år;kvinnor;2014;460
0115 Vallentuna;75-79 år;kvinnor;2015;506
0115 Vallentuna;75-79 år;kvinnor;2016;519
0115 Vallentuna;75-79 år;kvinnor;2017;562
0115 Vallentuna;75-79 år;kvinnor;2018;621
0115 Vallentuna;80-84 år;kvinnor;2008;250
0115 Vallentuna;80-84 år;kvinnor;2009;264
0115 Vallentuna;80-84 år;kvinnor;2010;254
0115 Vallentuna;80-84 år;kvinnor;2011;267
0115 Vallentuna;80-84 år;kvinnor;2012;278
0115 Vallentuna;80-84 år;kvinnor;2013;279
0115 Vallentuna;80-84 år;kvinnor;2014;292
0115 Vallentuna;80-84 år;kvinnor;2015;306
0115 Vallentuna;80-84 år;kvinnor;2016;331
0115 Vallentuna;80-84 år;kvinnor;2017;353
0115 Vallentuna;80-84 år;kvinnor;2018;381
0115 Vallentuna;85-89 år;kvinnor;2008;195
0115 Vallentuna;85-89 år;kvinnor;2009;179
0115 Vallentuna;85-89 år;kvinnor;2010;176
0115 Vallentuna;85-89 år;kvinnor;2011;182
0115 Vallentuna;85-89 år;kvinnor;2012;181
0115 Vallentuna;85-89 år;kvinnor;2013;192
0115 Vallentuna;85-89 år;kvinnor;2014;205
0115 Vallentuna;85-89 år;kvinnor;2015;195
0115 Vallentuna;85-89 år;kvinnor;2016;213
0115 Vallentuna;85-89 år;kvinnor;2017;216
0115 Vallentuna;85-89 år;kvinnor;2018;210
0115 Vallentuna;90-94 år;kvinnor;2008;63
0115 Vallentuna;90-94 år;kvinnor;2009;78
0115 Vallentuna;90-94 år;kvinnor;2010;85
0115 Vallentuna;90-94 år;kvinnor;2011;87
0115 Vallentuna;90-94 år;kvinnor;2012;100
0115 Vallentuna;90-94 år;kvinnor;2013;103
0115 Vallentuna;90-94 år;kvinnor;2014;97
0115 Vallentuna;90-94 år;kvinnor;2015;104
0115 Vallentuna;90-94 år;kvinnor;2016;100
0115 Vallentuna;90-94 år;kvinnor;2017;105
0115 Vallentuna;90-94 år;kvinnor;2018;113
0115 Vallentuna;95-99 år;kvinnor;2008;20
0115 Vallentuna;95-99 år;kvinnor;2009;21
0115 Vallentuna;95-99 år;kvinnor;2010;22
0115 Vallentuna;95-99 år;kvinnor;2011;20
0115 Vallentuna;95-99 år;kvinnor;2012;19
0115 Vallentuna;95-99 år;kvinnor;2013;20
0115 Vallentuna;95-99 år;kvinnor;2014;21
0115 Vallentuna;95-99 år;kvinnor;2015;31
0115 Vallentuna;95-99 år;kvinnor;2016;30
0115 Vallentuna;95-99 år;kvinnor;2017;30
0115 Vallentuna;95-99 år;kvinnor;2018;25
0115 Vallentuna;100+ år;kvinnor;2008;5
0115 Vallentuna;100+ år;kvinnor;2009;3
0115 Vallentuna;100+ år;kvinnor;2010;5
0115 Vallentuna;100+ år;kvinnor;2011;5
0115 Vallentuna;100+ år;kvinnor;2012;4
0115 Vallentuna;100+ år;kvinnor;2013;2
0115 Vallentuna;100+ år;kvinnor;2014;5
0115 Vallentuna;100+ år;kvinnor;2015;4
0115 Vallentuna;100+ år;kvinnor;2016;5
0115 Vallentuna;100+ år;kvinnor;2017;5
0115 Vallentuna;100+ år;kvinnor;2018;3
0117 Österåker;55-59 år;kvinnor;2008;1145
0117 Österåker;55-59 år;kvinnor;2009;1109
0117 Österåker;55-59 år;kvinnor;2010;1090
0117 Österåker;55-59 år;kvinnor;2011;1076
0117 Österåker;55-59 år;kvinnor;2012;1096
0117 Österåker;55-59 år;kvinnor;2013;1082
0117 Österåker;55-59 år;kvinnor;2014;1063
0117 Österåker;55-59 år;kvinnor;2015;1066
0117 Österåker;55-59 år;kvinnor;2016;1081
0117 Österåker;55-59 år;kvinnor;2017;1137
0117 Österåker;55-59 år;kvinnor;2018;1207
0117 Österåker;60-64 år;kvinnor;2008;1453
0117 Österåker;60-64 år;kvinnor;2009;1398
0117 Österåker;60-64 år;kvinnor;2010;1339
0117 Österåker;60-64 år;kvinnor;2011;1253
0117 Österåker;60-64 år;kvinnor;2012;1167
0117 Österåker;60-64 år;kvinnor;2013;1108
0117 Österåker;60-64 år;kvinnor;2014;1091
0117 Österåker;60-64 år;kvinnor;2015;1072
0117 Österåker;60-64 år;kvinnor;2016;1061
0117 Österåker;60-64 år;kvinnor;2017;1083
0117 Österåker;60-64 år;kvinnor;2018;1068
0117 Österåker;65-69 år;kvinnor;2008;1023
0117 Österåker;65-69 år;kvinnor;2009;1149
0117 Österåker;65-69 år;kvinnor;2010;1250
0117 Österåker;65-69 år;kvinnor;2011;1332
0117 Österåker;65-69 år;kvinnor;2012;1382
0117 Österåker;65-69 år;kvinnor;2013;1386
0117 Österåker;65-69 år;kvinnor;2014;1333
0117 Österåker;65-69 år;kvinnor;2015;1268
0117 Österåker;65-69 år;kvinnor;2016;1196
0117 Österåker;65-69 år;kvinnor;2017;1119
0117 Österåker;65-69 år;kvinnor;2018;1075
0117 Österåker;70-74 år;kvinnor;2008;659
0117 Österåker;70-74 år;kvinnor;2009;695
0117 Österåker;70-74 år;kvinnor;2010;756
0117 Österåker;70-74 år;kvinnor;2011;817
0117 Österåker;70-74 år;kvinnor;2012;872
0117 Österåker;70-74 år;kvinnor;2013;958
0117 Österåker;70-74 år;kvinnor;2014;1075
0117 Österåker;70-74 år;kvinnor;2015;1192
0117 Österåker;70-74 år;kvinnor;2016;1297
0117 Österåker;70-74 år;kvinnor;2017;1324
0117 Österåker;70-74 år;kvinnor;2018;1331
0117 Österåker;75-79 år;kvinnor;2008;471
0117 Österåker;75-79 år;kvinnor;2009;480
0117 Österåker;75-79 år;kvinnor;2010;478
0117 Österåker;75-79 år;kvinnor;2011;513
0117 Österåker;75-79 år;kvinnor;2012;539
0117 Österåker;75-79 år;kvinnor;2013;577
0117 Österåker;75-79 år;kvinnor;2014;623
0117 Österåker;75-79 år;kvinnor;2015;685
0117 Österåker;75-79 år;kvinnor;2016;747
0117 Österåker;75-79 år;kvinnor;2017;809
0117 Österåker;75-79 år;kvinnor;2018;892
0117 Österåker;80-84 år;kvinnor;2008;327
0117 Österåker;80-84 år;kvinnor;2009;371
0117 Österåker;80-84 år;kvinnor;2010;376
0117 Österåker;80-84 år;kvinnor;2011;370
0117 Österåker;80-84 år;kvinnor;2012;384
0117 Österåker;80-84 år;kvinnor;2013;401
0117 Österåker;80-84 år;kvinnor;2014;401
0117 Österåker;80-84 år;kvinnor;2015;400
0117 Österåker;80-84 år;kvinnor;2016;429
0117 Österåker;80-84 år;kvinnor;2017;467
0117 Österåker;80-84 år;kvinnor;2018;515
0117 Österåker;85-89 år;kvinnor;2008;237
0117 Österåker;85-89 år;kvinnor;2009;221
0117 Österåker;85-89 år;kvinnor;2010;216
0117 Österåker;85-89 år;kvinnor;2011;217
0117 Österåker;85-89 år;kvinnor;2012;238
0117 Österåker;85-89 år;kvinnor;2013;243
0117 Österåker;85-89 år;kvinnor;2014;273
0117 Österåker;85-89 år;kvinnor;2015;273
0117 Österåker;85-89 år;kvinnor;2016;277
0117 Österåker;85-89 år;kvinnor;2017;284
0117 Österåker;85-89 år;kvinnor;2018;308
0117 Österåker;90-94 år;kvinnor;2008;81
0117 Österåker;90-94 år;kvinnor;2009;100
0117 Österåker;90-94 år;kvinnor;2010;114
0117 Österåker;90-94 år;kvinnor;2011;117
0117 Österåker;90-94 år;kvinnor;2012;114
0117 Österåker;90-94 år;kvinnor;2013;124
0117 Österåker;90-94 år;kvinnor;2014;122
0117 Österåker;90-94 år;kvinnor;2015;119
0117 Österåker;90-94 år;kvinnor;2016;121
0117 Österåker;90-94 år;kvinnor;2017;130
0117 Österåker;90-94 år;kvinnor;2018;145
0117 Österåker;95-99 år;kvinnor;2008;29
0117 Österåker;95-99 år;kvinnor;2009;28
0117 Österåker;95-99 år;kvinnor;2010;26
0117 Österåker;95-99 år;kvinnor;2011;26
0117 Österåker;95-99 år;kvinnor;2012;24
0117 Österåker;95-99 år;kvinnor;2013;23
0117 Österåker;95-99 år;kvinnor;2014;32
0117 Österåker;95-99 år;kvinnor;2015;38
0117 Österåker;95-99 år;kvinnor;2016;43
0117 Österåker;95-99 år;kvinnor;2017;42
0117 Österåker;95-99 år;kvinnor;2018;41
0117 Österåker;100+ år;kvinnor;2008;0
0117 Österåker;100+ år;kvinnor;2009;1
0117 Österåker;100+ år;kvinnor;2010;0
0117 Österåker;100+ år;kvinnor;2011;3
0117 Österåker;100+ år;kvinnor;2012;4
0117 Österåker;100+ år;kvinnor;2013;4
0117 Österåker;100+ år;kvinnor;2014;4
0117 Österåker;100+ år;kvinnor;2015;6
0117 Österåker;100+ år;kvinnor;2016;5
0117 Österåker;100+ år;kvinnor;2017;1
0117 Österåker;100+ år;kvinnor;2018;5
0120 Värmdö;55-59 år;kvinnor;2008;1039
0120 Värmdö;55-59 år;kvinnor;2009;996
0120 Värmdö;55-59 år;kvinnor;2010;961
0120 Värmdö;55-59 år;kvinnor;2011;1042
0120 Värmdö;55-59 år;kvinnor;2012;1043
0120 Värmdö;55-59 år;kvinnor;2013;1057
0120 Värmdö;55-59 år;kvinnor;2014;1119
0120 Värmdö;55-59 år;kvinnor;2015;1164
0120 Värmdö;55-59 år;kvinnor;2016;1194
0120 Värmdö;55-59 år;kvinnor;2017;1254
0120 Värmdö;55-59 år;kvinnor;2018;1311
0120 Värmdö;60-64 år;kvinnor;2008;1284
0120 Värmdö;60-64 år;kvinnor;2009;1282
0120 Värmdö;60-64 år;kvinnor;2010;1232
0120 Värmdö;60-64 år;kvinnor;2011;1144
0120 Värmdö;60-64 år;kvinnor;2012;1077
0120 Värmdö;60-64 år;kvinnor;2013;1033
0120 Värmdö;60-64 år;kvinnor;2014;990
0120 Värmdö;60-64 år;kvinnor;2015;961
0120 Värmdö;60-64 år;kvinnor;2016;1041
0120 Värmdö;60-64 år;kvinnor;2017;1052
0120 Värmdö;60-64 år;kvinnor;2018;1098
0120 Värmdö;65-69 år;kvinnor;2008;782
0120 Värmdö;65-69 år;kvinnor;2009;918
0120 Värmdö;65-69 år;kvinnor;2010;1019
0120 Värmdö;65-69 år;kvinnor;2011;1099
0120 Värmdö;65-69 år;kvinnor;2012;1175
0120 Värmdö;65-69 år;kvinnor;2013;1240
0120 Värmdö;65-69 år;kvinnor;2014;1238
0120 Värmdö;65-69 år;kvinnor;2015;1205
0120 Värmdö;65-69 år;kvinnor;2016;1143
0120 Värmdö;65-69 år;kvinnor;2017;1099
0120 Värmdö;65-69 år;kvinnor;2018;1059
0120 Värmdö;70-74 år;kvinnor;2008;521
0120 Värmdö;70-74 år;kvinnor;2009;553
0120 Värmdö;70-74 år;kvinnor;2010;580
0120 Värmdö;70-74 år;kvinnor;2011;618
0120 Värmdö;70-74 år;kvinnor;2012;685
0120 Värmdö;70-74 år;kvinnor;2013;754
0120 Värmdö;70-74 år;kvinnor;2014;876
0120 Värmdö;70-74 år;kvinnor;2015;973
0120 Värmdö;70-74 år;kvinnor;2016;1064
0120 Värmdö;70-74 år;kvinnor;2017;1131
0120 Värmdö;70-74 år;kvinnor;2018;1203
0120 Värmdö;75-79 år;kvinnor;2008;378
0120 Värmdö;75-79 år;kvinnor;2009;381
0120 Värmdö;75-79 år;kvinnor;2010;399
0120 Värmdö;75-79 år;kvinnor;2011;444
0120 Värmdö;75-79 år;kvinnor;2012;452
0120 Värmdö;75-79 år;kvinnor;2013;472
0120 Värmdö;75-79 år;kvinnor;2014;493
0120 Värmdö;75-79 år;kvinnor;2015;523
0120 Värmdö;75-79 år;kvinnor;2016;557
0120 Värmdö;75-79 år;kvinnor;2017;640
0120 Värmdö;75-79 år;kvinnor;2018;701
0120 Värmdö;80-84 år;kvinnor;2008;295
0120 Värmdö;80-84 år;kvinnor;2009;292
0120 Värmdö;80-84 år;kvinnor;2010;305
0120 Värmdö;80-84 år;kvinnor;2011;318
0120 Värmdö;80-84 år;kvinnor;2012;312
0120 Värmdö;80-84 år;kvinnor;2013;316
0120 Värmdö;80-84 år;kvinnor;2014;332
0120 Värmdö;80-84 år;kvinnor;2015;345
0120 Värmdö;80-84 år;kvinnor;2016;379
0120 Värmdö;80-84 år;kvinnor;2017;384
0120 Värmdö;80-84 år;kvinnor;2018;400
0120 Värmdö;85-89 år;kvinnor;2008;188
0120 Värmdö;85-89 år;kvinnor;2009;211
0120 Värmdö;85-89 år;kvinnor;2010;214
0120 Värmdö;85-89 år;kvinnor;2011;216
0120 Värmdö;85-89 år;kvinnor;2012;232
0120 Värmdö;85-89 år;kvinnor;2013;221
0120 Värmdö;85-89 år;kvinnor;2014;222
0120 Värmdö;85-89 år;kvinnor;2015;220
0120 Värmdö;85-89 år;kvinnor;2016;216
0120 Värmdö;85-89 år;kvinnor;2017;227
0120 Värmdö;85-89 år;kvinnor;2018;241
0120 Värmdö;90-94 år;kvinnor;2008;67
0120 Värmdö;90-94 år;kvinnor;2009;66
0120 Värmdö;90-94 år;kvinnor;2010;71
0120 Värmdö;90-94 år;kvinnor;2011;81
0120 Värmdö;90-94 år;kvinnor;2012;89
0120 Värmdö;90-94 år;kvinnor;2013;104
0120 Värmdö;90-94 år;kvinnor;2014;109
0120 Värmdö;90-94 år;kvinnor;2015;107
0120 Värmdö;90-94 år;kvinnor;2016;118
0120 Värmdö;90-94 år;kvinnor;2017;131
0120 Värmdö;90-94 år;kvinnor;2018;115
0120 Värmdö;95-99 år;kvinnor;2008;21
0120 Värmdö;95-99 år;kvinnor;2009;19
0120 Värmdö;95-99 år;kvinnor;2010;12
0120 Värmdö;95-99 år;kvinnor;2011;11
0120 Värmdö;95-99 år;kvinnor;2012;13
0120 Värmdö;95-99 år;kvinnor;2013;18
0120 Värmdö;95-99 år;kvinnor;2014;16
0120 Värmdö;95-99 år;kvinnor;2015;21
0120 Värmdö;95-99 år;kvinnor;2016;22
0120 Värmdö;95-99 år;kvinnor;2017;25
0120 Värmdö;95-99 år;kvinnor;2018;34
0120 Värmdö;100+ år;kvinnor;2008;1
0120 Värmdö;100+ år;kvinnor;2009;1
0120 Värmdö;100+ år;kvinnor;2010;2
0120 Värmdö;100+ år;kvinnor;2011;2
0120 Värmdö;100+ år;kvinnor;2012;3
0120 Värmdö;100+ år;kvinnor;2013;3
0120 Värmdö;100+ år;kvinnor;2014;2
0120 Värmdö;100+ år;kvinnor;2015;2
0120 Värmdö;100+ år;kvinnor;2016;0
0120 Värmdö;100+ år;kvinnor;2017;2
0120 Värmdö;100+ år;kvinnor;2018;3
0123 Järfälla;55-59 år;kvinnor;2008;1909
0123 Järfälla;55-59 år;kvinnor;2009;1837
0123 Järfälla;55-59 år;kvinnor;2010;1831
0123 Järfälla;55-59 år;kvinnor;2011;1851
0123 Järfälla;55-59 år;kvinnor;2012;1827
0123 Järfälla;55-59 år;kvinnor;2013;1888
0123 Järfälla;55-59 år;kvinnor;2014;1903
0123 Järfälla;55-59 år;kvinnor;2015;1910
0123 Järfälla;55-59 år;kvinnor;2016;1944
0123 Järfälla;55-59 år;kvinnor;2017;2015
0123 Järfälla;55-59 år;kvinnor;2018;2072
0123 Järfälla;60-64 år;kvinnor;2008;2275
0123 Järfälla;60-64 år;kvinnor;2009;2198
0123 Järfälla;60-64 år;kvinnor;2010;2136
0123 Järfälla;60-64 år;kvinnor;2011;2055
0123 Järfälla;60-64 år;kvinnor;2012;1955
0123 Järfälla;60-64 år;kvinnor;2013;1826
0123 Järfälla;60-64 år;kvinnor;2014;1756
0123 Järfälla;60-64 år;kvinnor;2015;1789
0123 Järfälla;60-64 år;kvinnor;2016;1817
0123 Järfälla;60-64 år;kvinnor;2017;1806
0123 Järfälla;60-64 år;kvinnor;2018;1850
0123 Järfälla;65-69 år;kvinnor;2008;1736
0123 Järfälla;65-69 år;kvinnor;2009;1880
0123 Järfälla;65-69 år;kvinnor;2010;1999
0123 Järfälla;65-69 år;kvinnor;2011;2007
0123 Järfälla;65-69 år;kvinnor;2012;2066
0123 Järfälla;65-69 år;kvinnor;2013;2112
0123 Järfälla;65-69 år;kvinnor;2014;2037
0123 Järfälla;65-69 år;kvinnor;2015;1993
0123 Järfälla;65-69 år;kvinnor;2016;1931
0123 Järfälla;65-69 år;kvinnor;2017;1845
0123 Järfälla;65-69 år;kvinnor;2018;1745
0123 Järfälla;70-74 år;kvinnor;2008;1365
0123 Järfälla;70-74 år;kvinnor;2009;1396
0123 Järfälla;70-74 år;kvinnor;2010;1431
0123 Järfälla;70-74 år;kvinnor;2011;1483
0123 Järfälla;70-74 år;kvinnor;2012;1551
0123 Järfälla;70-74 år;kvinnor;2013;1611
0123 Järfälla;70-74 år;kvinnor;2014;1736
0123 Järfälla;70-74 år;kvinnor;2015;1839
0123 Järfälla;70-74 år;kvinnor;2016;1871
0123 Järfälla;70-74 år;kvinnor;2017;1914
0123 Järfälla;70-74 år;kvinnor;2018;1956
0123 Järfälla;75-79 år;kvinnor;2008;1044
0123 Järfälla;75-79 år;kvinnor;2009;1054
0123 Järfälla;75-79 år;kvinnor;2010;1041
0123 Järfälla;75-79 år;kvinnor;2011;1120
0123 Järfälla;75-79 år;kvinnor;2012;1150
0123 Järfälla;75-79 år;kvinnor;2013;1234
0123 Järfälla;75-79 år;kvinnor;2014;1246
0123 Järfälla;75-79 år;kvinnor;2015;1290
0123 Järfälla;75-79 år;kvinnor;2016;1330
0123 Järfälla;75-79 år;kvinnor;2017;1372
0123 Järfälla;75-79 år;kvinnor;2018;1433
0123 Järfälla;80-84 år;kvinnor;2008;742
0123 Järfälla;80-84 år;kvinnor;2009;794
0123 Järfälla;80-84 år;kvinnor;2010;826
0123 Järfälla;80-84 år;kvinnor;2011;835
0123 Järfälla;80-84 år;kvinnor;2012;875
0123 Järfälla;80-84 år;kvinnor;2013;861
0123 Järfälla;80-84 år;kvinnor;2014;879
0123 Järfälla;80-84 år;kvinnor;2015;873
0123 Järfälla;80-84 år;kvinnor;2016;945
0123 Järfälla;80-84 år;kvinnor;2017;970
0123 Järfälla;80-84 år;kvinnor;2018;1041
0123 Järfälla;85-89 år;kvinnor;2008;478
0123 Järfälla;85-89 år;kvinnor;2009;492
0123 Järfälla;85-89 år;kvinnor;2010;509
0123 Järfälla;85-89 år;kvinnor;2011;511
0123 Järfälla;85-89 år;kvinnor;2012;502
0123 Järfälla;85-89 år;kvinnor;2013;521
0123 Järfälla;85-89 år;kvinnor;2014;563
0123 Järfälla;85-89 år;kvinnor;2015;571
0123 Järfälla;85-89 år;kvinnor;2016;597
0123 Järfälla;85-89 år;kvinnor;2017;628
0123 Järfälla;85-89 år;kvinnor;2018;617
0123 Järfälla;90-94 år;kvinnor;2008;175
0123 Järfälla;90-94 år;kvinnor;2009;184
0123 Järfälla;90-94 år;kvinnor;2010;206
